"","X","Acres","Annual.Visitors","Visitors.by.Acres","Retail.Sales.Tax.Collected..Inflation.","Total.Retail.Sales..Inflation.","Retail.Square.Footage","Unemployment.Rate..Summit.","CPI","Total.Nearby.Housing","Annual.Income..Summit.","Annual.Income..Colorado.","Skiable.Green.Terrain","Skiable.Blue.Terrain","Skiable.Black.Terrain","Skiable.Double.Black.Terrain","Snowmaking.Acres","Breckenridge.Permanent.Residents","Breckenridge.Peak.Residents","Upper.Blue.Permanent.Residents","Upper.Blue.Peak.Residents","Summit.County.Permanent.Residents","Summit.County.Peak.Residents"
"Annual.Income..Summit.",0.960901493349912,0.757309405351577,0.920654439343952,0.572080951039976,0.900799522784855,0.925251057151159,0.40624122182786,0.0896979381914613,0.965302438301339,0.927071752990641,1,0.755315010513144,-0.151897057220545,0.837695107093867,-0.902904039476347,-0.413392497924865,0.892283283866439,0.89280562744231,0.945278855934525,0.915804798890409,0.954480201796693,0.964983056188614,0.91024342327947
"Annual.Income..Colorado.",0.69170426452594,0.742220112888197,0.780988785500491,0.335381645458507,0.878781373566539,0.777832610956864,0.171770350697824,-0.376731926087809,0.669180584693402,0.616543872521098,0.755315010513144,1,-0.14025899751258,0.514861447054689,-0.658401765024695,-0.151251331476377,0.804948298432368,0.582716346113591,0.574107966963912,0.652676950491667,0.677192856773068,0.713570010231829,0.692147989093705
"Skiable.Green.Terrain",-0.261116483933547,-0.542080299851861,-0.22777631612191,0.367552254317204,-0.236327129896302,-0.285420874138327,-0.61779669157611,-0.159130879789831,-0.290415811422547,-0.206208929840445,-0.151897057220545,-0.14025899751258,1,0.127246649639822,0.350286639663872,-0.730296743340222,-0.116307767504421,-0.30431692289866,-0.140211173231643,-0.0899252669988069,-0.100221723829646,-0.135318275890182,-0.0261613329528678
"Skiable.Blue.Terrain",0.85059066230462,0.511476862899865,0.761575993286957,0.632743059752459,0.68712370654566,0.681113470569972,0.248092191766219,0.265812456072912,0.833714728688526,0.885323343618305,0.837695107093867,0.514861447054689,0.127246649639822,1,-0.867104056719742,-0.751553694373709,0.803673894763811,0.825232666293932,0.919148487733637,0.919682819787182,0.925398643498552,0.895064103035271,0.912278094012104
"Skiable.Black.Terrain",-0.959273530700215,-0.806702502499226,-0.878546353030667,-0.419642194522623,-0.824961058419027,-0.817658376342693,-0.522500782588649,-0.267274552623671,-0.951985997518419,-0.960765704279797,-0.902904039476347,-0.658401765024695,0.350286639663872,-0.867104056719742,1,0.325615877244003,-0.890019272160205,-0.945416034246041,-0.93730628985177,-0.934935312399148,-0.944752316811548,-0.944535902098382,-0.910896991100526
"Skiable.Double.Black.Terrain",-0.357548470967097,0.0775579460168959,-0.303996961872928,-0.655920545068385,-0.238482650145098,-0.224798111530435,0.235434490215564,-0.122980836136586,-0.332128128345006,-0.420661790743556,-0.413392497924865,-0.151251331476377,-0.730296743340222,-0.751553694373709,0.325615877244003,1,-0.382139558025743,-0.322128390258527,-0.507166757164588,-0.521552633650356,-0.519004480492746,-0.465849851405832,-0.546441554453068
"Snowmaking.Acres",0.925987877053276,0.80047082206132,0.894831677255466,0.453931513970666,0.876300876778172,0.794451852495217,0.379044979917224,0.107647573406948,0.898494924097133,0.922912474801819,0.892283283866439,0.804948298432368,-0.116307767504421,0.803673894763811,-0.890019272160205,-0.382139558025743,1,0.891175700245276,0.858093077892588,0.922274968310044,0.924599870598836,0.93801628991814,0.940463658778956
"Breckenridge.Permanent.Residents",0.978605740025464,0.804275530747555,0.881302923585046,0.426262380216691,0.784684212783245,0.817831855335564,0.667438024796841,0.4330887891839,0.973325049117179,0.974017548510051,0.89280562744231,0.582716346113591,-0.30431692289866,0.825232666293932,-0.945416034246041,-0.322128390258527,0.891175700245276,1,0.94782642233312,0.915040136435564,0.934350971711357,0.931481975114238,0.897059594766703
"Breckenridge.Peak.Residents",0.966898996458203,0.696984336070648,0.852994841763316,0.53242256731763,0.776046503800554,0.817159068328015,0.484244812063645,0.341911381596643,0.969183145633051,0.9733530541104,0.945278855934525,0.574107966963912,-0.140211173231643,0.919148487733637,-0.93730628985177,-0.507166757164588,0.858093077892588,0.94782642233312,1,0.949279382459813,0.979478835618655,0.966494935425177,0.936832625625328
"Upper.Blue.Permanent.Residents",0.946081294654532,0.729226260971048,0.888737917252838,0.548758771178054,0.803178667350757,0.764937348853473,0.393426117880351,0.216015391076908,0.929533454195024,0.967794847456558,0.915804798890409,0.652676950491667,-0.0899252669988069,0.919682819787182,-0.934935312399148,-0.521552633650356,0.922274968310044,0.915040136435564,0.949279382459813,1,0.98714933452018,0.982562753999246,0.985682720397565
"Upper.Blue.Peak.Residents",0.970728840452271,0.739742547509408,0.89908944735905,0.553999851668676,0.834724995574926,0.821323387331435,0.413097023126478,0.223193871123314,0.961005877524574,0.977563940816291,0.954480201796693,0.677192856773068,-0.100221723829646,0.925398643498552,-0.944752316811548,-0.519004480492746,0.924599870598836,0.934350971711357,0.979478835618655,0.98714933452018,1,0.994033089206391,0.983870792434429
"Summit.County.Permanent.Residents",0.974314139271606,0.766247936490988,0.916806191119895,0.546731699727934,0.86143057707226,0.843380688098547,0.412097816877509,0.173524936499718,0.964472094721065,0.976503956924282,0.964983056188614,0.713570010231829,-0.135318275890182,0.895064103035271,-0.944535902098382,-0.465849851405832,0.93801628991814,0.931481975114238,0.966494935425177,0.982562753999246,0.994033089206391,1,0.98068094074108
"Summit.County.Peak.Residents",0.931703187788374,0.710479123088593,0.874926391952513,0.551298311786807,0.811360505144795,0.75583483507464,0.334755440446352,0.182054470081649,0.910254650624143,0.954618518779032,0.91024342327947,0.692147989093705,-0.0261613329528678,0.912278094012104,-0.910896991100526,-0.546441554453068,0.940463658778956,0.897059594766703,0.936832625625328,0.985682720397565,0.983870792434429,0.98068094074108,1
